number,	status,	signal,
0304-1, off,	0101000101010101001111000,
0304-1,	on,		0101000101010101001100110,

0304-2, off,	0101000101010101110011000,
0304-2,	on,		0101000101010101110000110,

0304-3, off,	0101000101010111000011000,
0304-3,	on,		0101000101010111000000110,

0304-4, off,	0101000101011101000011000,
0304-4,	on,		0101000101011101000000110,

0304-5,	off,	0101000101110101000011000,
0304-5,	on,		0101000101110101000000110,
